"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"12011","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP102/2024-2025/143620","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","21-Mar-2025","VIJEESH KUMAR V K","Payment Success","869076"
"12012","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/139680","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","16-Dec-2024","Malik construction and supplier","Payment Success","1994111"
"12013","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP850/2025-2026/182069","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","08-Jul-2025","MS Ahsan khan","Payment Success","497700"
"12014","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP850/2023-2024/84727","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","27-Oct-2025","MS Ahsan khan","Payment Success","484000"
"12015","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP850/2023-2024/84727","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","13-Jan-2025","MS Ahsan khan","Payment Success","1500000"
"12016","Himachal Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP078/2023-2024/25344","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","07-Jan-2026","Gram Panchayat Lambagaon","Payment Success","100000"
"12017","Himachal Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP078/2023-2024/25344","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","09-Dec-2024","Gram Panchayat Lambagaon","Payment Success","150000"
"12018","Kerala","Improvement of electricity distribution infrastructure","WS/MP100/2025-2026/172451","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","07-Jul-2025","Executive Engineer  Electrical Division  Vaikom","Payment Success","420000"
"12019","Telangana","Construction of public irrigation facilities","WS/MP171/2026-2027/203564","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","19-May-2026","sivasetti lalaiah","Payment Success","499000"
"12020","Telangana","Construction of public irrigation facilities","WS/MP171/2026-2027/261931","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","19-May-2026","sivasetti lalaiah","Payment Success","250000"
"12021","Telangana","Construction of public irrigation facilities","WS/MP171/2026-2027/261930","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","19-May-2026","sivasetti lalaiah","Payment Success","250000"
"12022","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2024-2025/142691","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","17-Dec-2024","sivasetti lalaiah","Payment Success","498000"
"12023","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2024-2025/142690","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","13-Dec-2024","sivasetti lalaiah","Payment Success","498000"
"12024","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2024-2025/142688","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","13-Dec-2024","sivasetti lalaiah","Payment Success","498000"
"12025","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2024-2025/142689","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","13-Dec-2024","sivasetti lalaiah","Payment Success","498000"
"12026","Punjab","Providing drains and gutters for public drainage","WS/MP235/2025-2026/241412","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","05-Jan-2026","Ms Garg Bricks","Payment Success","42000"
"12027","Punjab","Providing drains and gutters for public drainage","WS/MP235/2025-2026/241412","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","05-Jan-2026","Ms Garg Bricks","Payment Success","7000"
"12028","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP165/2024-2025/96074","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","06-Jan-2025","VST CONSTRUCTION","Payment Success","1000000"
"12029","Kerala","Purchase of furniture and fixtures for educational purposes","WS/MP099/2024-2025/133009","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","07-Dec-2024","VIJAYAN P","Payment Success","6000"
"12030","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190777","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12031","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190776","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12032","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190778","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12033","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190775","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12034","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190771","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12035","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190772","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12036","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190773","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12037","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190774","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12038","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190759","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12039","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190760","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12040","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190761","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12041","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190758","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12042","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190762","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12043","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190752","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12044","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190751","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12045","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190753","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12046","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190754","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12047","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190757","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12048","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190756","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12049","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190755","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12050","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190750","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Sep-2025","STARCARE ENTERPRISES LLP","Payment Success","250000"
"12051","Nagaland","Purchase of IT systems, including hardware and software for educational purposes","WS/MP233/2024-2025/133819","PEREN(Deputy Commissioner Peren_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","07-Sep-2024","PRINCIPAL ST XAVIER COLLEGE","Payment Success","1500000"
"12052","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP096/2024-2025/133668","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","18-Sep-2024","SABEER P","Payment Success","487095"
"12053","Karnataka","Providing drains and gutters for public drainage","WS/MP18364/2025-2026/149970","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","21-Nov-2025","PAKIRAPPA BHUMARATTI","Payment Success","499643"
"12054","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2024-2025/149975","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","05-Jun-2025","PAKIRAPPA BHUMARATTI","Payment Success","499534"
"12055","Rajasthan","Construction of public libraries and reading rooms","WS/MP147/2023-2024/86044","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","24-May-2026","MAA SWARUP LAXMI CONSTRUCTION COMPANY","Payment Success","500000"
"12056","Rajasthan","Construction of public libraries and reading rooms","WS/MP147/2023-2024/86044","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","06-Sep-2024","MAA SWARUP LAXMI CONSTRUCTION COMPANY","Payment Success","500000"
"12057","Andhra Pradesh","Construction of community centers and community halls","WS/MP840/2024-2025/155328","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","30-Dec-2024","G Prathap Reddy","Payment Success","3000000"
"12058","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP141/2024-2025/141803","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","21-Mar-2025","JS Interlock Tiles Factory Dasuya","Payment Success","114000"
"12059","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP141/2025-2026/213253","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","26-Dec-2025","JS Interlock Tiles Factory Dasuya","Payment Success","20250"
"12060","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP141/2025-2026/213253","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","26-Dec-2025","JS Interlock Tiles Factory Dasuya","Payment Success","68400"
"12061","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP141/2024-2025/141798","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","14-Jan-2026","JS Interlock Tiles Factory Dasuya","Payment Success","31000"
"12062","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP141/2025-2026/213241","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","05-Jan-2026","JS Interlock Tiles Factory Dasuya","Payment Success","6000"
"12063","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP141/2025-2026/213241","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","05-Jan-2026","JS Interlock Tiles Factory Dasuya","Payment Success","125400"
"12064","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP141/2025-2026/213241","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","05-Jan-2026","JS Interlock Tiles Factory Dasuya","Payment Success","30500"
"12065","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP141/2025-2026/213253","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","27-Jan-2026","JS Interlock Tiles Factory Dasuya","Payment Success","10000"
"12066","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP141/2025-2026/213253","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","27-Jan-2026","JS Interlock Tiles Factory Dasuya","Payment Success","27000"
"12067","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP141/2025-2026/213253","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","27-Jan-2026","JS Interlock Tiles Factory Dasuya","Payment Success","34200"
"12068","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP141/2025-2026/213245","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","16-Feb-2026","JS Interlock Tiles Factory Dasuya","Payment Success","43000"
"12069","Punjab","Construction of buildings for multi-gym","WS/MP141/2025-2026/213250","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","25-Feb-2026","MS Dhir Brick Industry Dasuya","Payment Success","38750"
"12070","Himachal Pradesh","Installation of multi-gym equipment","WS/MP078/2023-2024/25208","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","25-Sep-2024","G P CHHAPRAHAN","Payment Success","450000"
"12071","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP096/2024-2025/137098","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","06-Sep-2024","ABDUL NAZEER V P","Payment Success","379009"
"12072","Uttarakhand","Lighting of public spaces","WS/MP204/2023-2024/84764","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","19-May-2025","MS Hindustan Enterprises","Payment Success","2441090"
"12073","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP141/2025-2026/213241","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","05-Jan-2026","Raman So Satnam","Payment Success","38100"
"12074","Punjab","Construction of buildings for multi-gym","WS/MP141/2025-2026/213250","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","21-Aug-2026","Raman So Satnam","Payment Success","57100"
"12075","Madhya Pradesh","Construction of community centers and community halls","WS/MP18284/2025-2026/197511","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Ashok Singh (2024-30) (2024-2030)","Elected MP","03-Nov-2025","Gram Panchayat Chinnoni Karera","Payment Success","120000"
"12076","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/166882","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","06-Feb-2026","Gram Panchayat Chinnoni Karera","Payment Success","360000"
"12077","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2024-2025/132837","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","05-Feb-2025","Gram Panchayat Chinnoni Karera","Payment Success","299900"
"12078","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/166882","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","17-Jun-2025","Gram Panchayat Chinnoni Karera","Payment Success","240000"
"12079","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2024-2025/132837","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","16-Oct-2024","Gram Panchayat Chinnoni Karera","Payment Success","200000"
"12080","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP096/2024-2025/137101","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","23-Sep-2024","Muhammed Shafi N","Payment Success","267873"
